,Alegria,Porcentaje Alegria,Media Alegria,Mal humor,Porcentaje Mal humor,Media Mal humor,Seriedad,Porcentaje Seriedad,Media Seriedad
0,21.0,1.6666666666666667,1.05,73.0,88.33333333333333,3.65,59.0,65.0,2.95
1,59.0,65.0,2.95,59.0,65.0,2.95,58.0,63.33333333333333,2.9
2,20.0,0.0,1.0,78.0,96.66666666666667,3.9,62.0,70.0,3.1
3,23.0,5.0,1.15,77.0,95.0,3.85,57.0,61.66666666666667,2.85
4,69.0,81.66666666666667,3.45,53.0,55.00000000000001,2.65,63.0,71.66666666666667,3.15
5,25.0,8.333333333333332,1.25,79.0,98.33333333333333,3.95,64.0,73.33333333333333,3.2
6,39.0,31.666666666666664,1.95,70.0,83.33333333333334,3.5,68.0,80.0,3.4
7,78.0,96.66666666666667,3.9,25.0,8.333333333333332,1.25,57.0,61.66666666666667,2.85
8,24.0,6.666666666666667,1.2,80.0,100.0,4.0,66.0,76.66666666666667,3.3
9,80.0,100.0,4.0,24.0,6.666666666666667,1.2,36.0,26.666666666666668,1.8
10,80.0,100.0,4.0,25.0,8.333333333333332,1.25,38.0,30.0,1.9
11,75.0,91.66666666666666,3.75,20.0,0.0,1.0,41.0,35.0,2.05
12,21.0,1.6666666666666667,1.05,80.0,100.0,4.0,69.0,81.66666666666667,3.45
13,77.0,95.0,3.85,20.0,0.0,1.0,39.0,31.666666666666664,1.95
14,55.0,58.333333333333336,2.75,44.0,40.0,2.2,66.0,76.66666666666667,3.3
15,66.0,76.66666666666667,3.3,26.0,10.0,1.3,44.0,40.0,2.2
16,20.0,0.0,1.0,77.0,95.0,3.85,65.0,75.0,3.25
17,55.0,58.333333333333336,2.75,57.0,61.66666666666667,2.85,65.0,75.0,3.25
18,77.0,95.0,3.85,28.0,13.333333333333334,1.4,36.0,26.666666666666668,1.8
19,42.0,36.666666666666664,2.1,67.0,78.33333333333333,3.35,65.0,75.0,3.25
20,52.0,53.333333333333336,2.6,46.0,43.333333333333336,2.3,61.0,68.33333333333333,3.05
21,80.0,100.0,4.0,24.0,6.666666666666667,1.2,30.0,16.666666666666664,1.5
22,20.0,0.0,1.0,69.0,81.66666666666667,3.45,63.0,71.66666666666667,3.15
23,20.0,0.0,1.0,80.0,100.0,4.0,61.0,68.33333333333333,3.05
24,24.0,6.666666666666667,1.2,73.0,88.33333333333333,3.65,69.0,81.66666666666667,3.45
25,68.0,80.0,3.4,59.0,65.0,2.95,60.0,66.66666666666666,3.0
26,63.0,71.66666666666667,3.15,65.0,75.0,3.25,63.0,71.66666666666667,3.15
27,78.0,96.66666666666667,3.9,26.0,10.0,1.3,52.0,53.333333333333336,2.6
28,75.0,91.66666666666666,3.75,22.0,3.3333333333333335,1.1,47.0,45.0,2.35
29,77.0,95.0,3.85,28.0,13.333333333333334,1.4,49.0,48.333333333333336,2.45
30,78.0,96.66666666666667,3.9,22.0,3.3333333333333335,1.1,42.0,36.666666666666664,2.1
31,71.0,85.0,3.55,20.0,0.0,1.0,36.0,26.666666666666668,1.8
32,61.0,68.33333333333333,3.05,67.0,78.33333333333333,3.35,61.0,68.33333333333333,3.05
33,66.0,76.66666666666667,3.3,66.0,76.66666666666667,3.3,68.0,80.0,3.4
34,21.0,1.6666666666666667,1.05,75.0,91.66666666666666,3.75,46.0,43.333333333333336,2.3
35,58.0,63.33333333333333,2.9,47.0,45.0,2.35,60.0,66.66666666666666,3.0
36,80.0,100.0,4.0,25.0,8.333333333333332,1.25,32.0,20.0,1.6
37,22.0,3.3333333333333335,1.1,74.0,90.0,3.7,52.0,53.333333333333336,2.6
38,64.0,73.33333333333333,3.2,35.0,25.0,1.75,56.0,60.0,2.8
39,22.0,3.3333333333333335,1.1,76.0,93.33333333333333,3.8,61.0,68.33333333333333,3.05
40,65.0,75.0,3.25,49.0,48.333333333333336,2.45,66.0,76.66666666666667,3.3
41,22.0,3.3333333333333335,1.1,77.0,95.0,3.85,49.0,48.333333333333336,2.45
42,59.0,65.0,2.95,28.0,13.333333333333334,1.4,57.0,61.66666666666667,2.85
43,39.0,31.666666666666664,1.95,62.0,70.0,3.1,50.0,50.0,2.5
44,79.0,98.33333333333333,3.95,27.0,11.666666666666666,1.35,33.0,21.666666666666668,1.65
45,72.0,86.66666666666667,3.6,26.0,10.0,1.3,40.0,33.33333333333333,2.0
46,76.0,93.33333333333333,3.8,22.0,3.3333333333333335,1.1,29.0,15.0,1.45
47,60.0,66.66666666666666,3.0,73.0,88.33333333333333,3.65,57.0,61.66666666666667,2.85
48,54.0,56.666666666666664,2.7,38.0,30.0,1.9,57.0,61.66666666666667,2.85
49,22.0,3.3333333333333335,1.1,80.0,100.0,4.0,59.0,65.0,2.95
50,79.0,98.33333333333333,3.95,20.0,0.0,1.0,44.0,40.0,2.2
51,20.0,0.0,1.0,76.0,93.33333333333333,3.8,46.0,43.333333333333336,2.3
52,20.0,0.0,1.0,79.0,98.33333333333333,3.95,55.0,58.333333333333336,2.75
53,45.0,41.66666666666667,2.25,59.0,65.0,2.95,67.0,78.33333333333333,3.35
54,66.0,76.66666666666667,3.3,55.0,58.333333333333336,2.75,66.0,76.66666666666667,3.3
55,23.0,5.0,1.15,79.0,98.33333333333333,3.95,62.0,70.0,3.1
56,78.0,96.66666666666667,3.9,20.0,0.0,1.0,37.0,28.333333333333332,1.85
57,72.0,86.66666666666667,3.6,26.0,10.0,1.3,37.0,28.333333333333332,1.85
58,24.0,6.666666666666667,1.2,74.0,90.0,3.7,62.0,70.0,3.1
59,41.0,35.0,2.05,67.0,78.33333333333333,3.35,60.0,66.66666666666666,3.0
60,26.0,10.0,1.3,73.0,88.33333333333333,3.65,56.0,60.0,2.8
61,75.0,91.66666666666666,3.75,21.0,1.6666666666666667,1.05,44.0,40.0,2.2
62,80.0,100.0,4.0,20.0,0.0,1.0,31.0,18.333333333333332,1.55
63,63.0,71.66666666666667,3.15,56.0,60.0,2.8,62.0,70.0,3.1
64,22.0,3.3333333333333335,1.1,78.0,96.66666666666667,3.9,52.0,53.333333333333336,2.6
65,53.0,55.00000000000001,2.65,54.0,56.666666666666664,2.7,58.0,63.33333333333333,2.9
66,79.0,98.33333333333333,3.95,20.0,0.0,1.0,47.0,45.0,2.35
67,23.0,5.0,1.15,80.0,100.0,4.0,61.0,68.33333333333333,3.05
68,27.0,11.666666666666666,1.35,79.0,98.33333333333333,3.95,47.0,45.0,2.35
69,20.0,0.0,1.0,76.0,93.33333333333333,3.8,62.0,70.0,3.1
70,62.0,70.0,3.1,78.0,96.66666666666667,3.9,62.0,70.0,3.1
71,39.0,31.666666666666664,1.95,65.0,75.0,3.25,58.0,63.33333333333333,2.9
72,25.0,8.333333333333332,1.25,78.0,96.66666666666667,3.9,60.0,66.66666666666666,3.0
73,29.0,15.0,1.45,60.0,66.66666666666666,3.0,56.0,60.0,2.8
74,20.0,0.0,1.0,72.0,86.66666666666667,3.6,56.0,60.0,2.8
75,20.0,0.0,1.0,80.0,100.0,4.0,59.0,65.0,2.95
76,20.0,0.0,1.0,67.0,78.33333333333333,3.35,65.0,75.0,3.25
77,39.0,31.666666666666664,1.95,71.0,85.0,3.55,57.0,61.66666666666667,2.85
78,59.0,65.0,2.95,44.0,40.0,2.2,58.0,63.33333333333333,2.9
79,72.0,86.66666666666667,3.6,26.0,10.0,1.3,44.0,40.0,2.2
80,62.0,70.0,3.1,41.0,35.0,2.05,62.0,70.0,3.1
81,72.0,86.66666666666667,3.6,20.0,0.0,1.0,39.0,31.666666666666664,1.95
82,57.0,61.66666666666667,2.85,38.0,30.0,1.9,54.0,56.666666666666664,2.7
83,43.0,38.333333333333336,2.15,57.0,61.66666666666667,2.85,58.0,63.33333333333333,2.9
84,59.0,65.0,2.95,56.0,60.0,2.8,55.0,58.333333333333336,2.75
85,77.0,95.0,3.85,21.0,1.6666666666666667,1.05,44.0,40.0,2.2
86,80.0,100.0,4.0,24.0,6.666666666666667,1.2,53.0,55.00000000000001,2.65
87,80.0,100.0,4.0,21.0,1.6666666666666667,1.05,38.0,30.0,1.9
88,72.0,86.66666666666667,3.6,21.0,1.6666666666666667,1.05,34.0,23.333333333333332,1.7
89,39.0,31.666666666666664,1.95,45.0,41.66666666666667,2.25,62.0,70.0,3.1
90,27.0,11.666666666666666,1.35,80.0,100.0,4.0,63.0,71.66666666666667,3.15
91,71.0,85.0,3.55,21.0,1.6666666666666667,1.05,40.0,33.33333333333333,2.0
92,35.0,25.0,1.75,44.0,40.0,2.2,57.0,61.66666666666667,2.85
93,50.0,50.0,2.5,32.0,20.0,1.6,53.0,55.00000000000001,2.65
94,63.0,71.66666666666667,3.15,32.0,20.0,1.6,61.0,68.33333333333333,3.05
95,79.0,98.33333333333333,3.95,37.0,28.333333333333332,1.85,43.0,38.333333333333336,2.15
96,79.0,98.33333333333333,3.95,20.0,0.0,1.0,34.0,23.333333333333332,1.7
97,70.0,83.33333333333334,3.5,21.0,1.6666666666666667,1.05,47.0,45.0,2.35
98,28.0,13.333333333333334,1.4,75.0,91.66666666666666,3.75,68.0,80.0,3.4
99,56.0,60.0,2.8,35.0,25.0,1.75,68.0,80.0,3.4
100,39.0,31.666666666666664,1.95,62.0,70.0,3.1,62.0,70.0,3.1
101,20.0,0.0,1.0,78.0,96.66666666666667,3.9,64.0,73.33333333333333,3.2
102,25.0,8.333333333333332,1.25,78.0,96.66666666666667,3.9,59.0,65.0,2.95
103,42.0,36.666666666666664,2.1,53.0,55.00000000000001,2.65,59.0,65.0,2.95
104,22.0,3.3333333333333335,1.1,74.0,90.0,3.7,52.0,53.333333333333336,2.6
105,46.0,43.333333333333336,2.3,45.0,41.66666666666667,2.25,53.0,55.00000000000001,2.65
106,58.0,63.33333333333333,2.9,47.0,45.0,2.35,67.0,78.33333333333333,3.35
107,24.0,6.666666666666667,1.2,74.0,90.0,3.7,60.0,66.66666666666666,3.0
108,60.0,66.66666666666666,3.0,23.0,5.0,1.15,56.0,60.0,2.8
109,80.0,100.0,4.0,22.0,3.3333333333333335,1.1,42.0,36.666666666666664,2.1
110,74.0,90.0,3.7,31.0,18.333333333333332,1.55,41.0,35.0,2.05
111,36.0,26.666666666666668,1.8,52.0,53.333333333333336,2.6,54.0,56.666666666666664,2.7
112,60.0,66.66666666666666,3.0,44.0,40.0,2.2,54.0,56.666666666666664,2.7
113,24.0,6.666666666666667,1.2,80.0,100.0,4.0,51.0,51.66666666666667,2.55
114,76.0,93.33333333333333,3.8,21.0,1.6666666666666667,1.05,43.0,38.333333333333336,2.15
115,20.0,0.0,1.0,80.0,100.0,4.0,57.0,61.66666666666667,2.85
116,80.0,100.0,4.0,20.0,0.0,1.0,33.0,21.666666666666668,1.65
117,74.0,90.0,3.7,26.0,10.0,1.3,43.0,38.333333333333336,2.15
118,79.0,98.33333333333333,3.95,20.0,0.0,1.0,45.0,41.66666666666667,2.25
119,22.0,3.3333333333333335,1.1,80.0,100.0,4.0,66.0,76.66666666666667,3.3
